KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth (m),Slope,Note
10_07_2017,8,SD,2,,Centropyge flavissima,5,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Centropyge flavissima,6,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Chaetodon ornatissimus,12,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Chromis acares,3,30,,1714,9.4,1,
10_07_2017,8,SD,2,,Chromis margaritifer,4,35,,1714,9.4,1,
10_07_2017,8,SD,2,,Chromis margaritifer,2,16,,1714,9.4,1,
10_07_2017,8,SD,2,,Chromis vanderbilti,3,105,,1714,9.4,1,
10_07_2017,8,SD,2,,Stegastes aureus,8,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Stegastes aureus,4,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Stegastes aureus,5,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Stegastes aureus,7,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Stegastes aureus,6,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Stegastes aureus,9,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Gomphosus varius,3,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Halichoeres hortulanus,23,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Macropharyngodon meleagris,3,3,,1714,9.4,1,
10_07_2017,8,SD,2,,Macropharyngodon meleagris,6,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Pseudocheilinus hexataenia,4,2,,1714,9.4,1,
10_07_2017,8,SD,2,,Pseudocheilinus hexataenia,3,2,,1714,9.4,1,
10_07_2017,8,SD,2,,Pseudocheilinus octotaenia,6,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Pseudocheilinus octotaenia,8,2,,1714,9.4,1,
10_07_2017,8,SD,2,,Pseudocheilinus octotaenia,7,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Stethojulis bandanensis,7,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Thalassoma amblycephalum,5,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Thalassoma quinquevittatum,9,3,,1714,9.4,1,
10_07_2017,8,SD,2,,Thalassoma quinquevittatum,7,2,,1714,9.4,1,
10_07_2017,8,SD,2,,Thalassoma quinquevittatum,7,3,,1714,9.4,1,
10_07_2017,8,SD,2,,Thalassoma quinquevittatum,6,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Calotomus carolinus,7,1,juv,1714,9.4,1,
10_07_2017,8,SD,2,,Chlorurus sordidus,12,1,juv,1714,9.4,1,
10_07_2017,8,SD,2,,Chlorurus sordidus,3,1,juv,1714,9.4,1,
10_07_2017,8,SD,2,,Acanthurus nigricans,20,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Acanthurus nigricans,15,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Acanthurus nigrofuscus,7,2,,1714,9.4,1,
10_07_2017,8,SD,2,,Ctenochaetus flavicauda,6,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Ctenochaetus marginatus,20,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Ctenochaetus marginatus,22,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Ctenochaetus marginatus,13,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Ctenochaetus marginatus,10,1,,1714,9.4,1,
10_07_2017,8,SD,2,,Parupeneus insularis,8,3,,1714,9.4,1,
10_07_2017,8,SD,2,,Parupeneus insularis,5,1,,1714,9.4,1,
10_07_2017,8,SD,3,,Myripristis tiere,25,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Sargocentron caudimaculatum,14,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Caranx melampygus,45,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Caranx melampygus,37,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Epinephelus melanostigma,28,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Epinephelus polyphekadion,30,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Epinephelus howlandi,40,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Epinephelus macrospilos,25,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Cephalopholis argus,30,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Cephalopholis argus,32,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Cephalopholis urodeta,11,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Cephalopholis urodeta,12,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Cephalopholis urodeta,16,2,,17:33,9.1,1,
10_07_2017,8,SD,3,,Cephalopholis urodeta,19,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Epinephelus fasciatus,21,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Pseudanthias dispar,5,7,,17:33,9.1,1,
10_07_2017,8,SD,3,,Pseudanthias olivaceus,5,40,,17:33,9.1,1,
10_07_2017,8,SD,3,,Pseudanthias olivaceus,3,40,,17:33,9.1,1,
10_07_2017,8,SD,3,,Monotaxis grandoculis,21,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Centropyge flavissima,5,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Centropyge flavissima,6,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Chromis margaritifer,4,30,,17:33,9.1,1,
10_07_2017,8,SD,3,,Chromis margaritifer,2,21,,17:33,9.1,1,
10_07_2017,8,SD,3,,Chromis vanderbilti,3,195,,17:33,9.1,1,
10_07_2017,8,SD,3,,Plectroglyphidodon dickii,6,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Stegastes aureus,6,4,,17:33,9.1,1,
10_07_2017,8,SD,3,,Stegastes aureus,9,4,,17:33,9.1,1,
10_07_2017,8,SD,3,,Labroides dimidiatus,11,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Labroides rubrolabiatus,3,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Pseudocheilinus hexataenia,4,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Pseudocheilinus octotaenia,9,2,,17:33,9.1,1,
10_07_2017,8,SD,3,,Pseudocheilinus octotaenia,8,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Pseudocheilinus octotaenia,7,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Thalassoma quinquevittatum,8,2,,17:33,9.1,1,
10_07_2017,8,SD,3,,Calotomus carolinus,20,2,TP,17:33,9.1,1,
10_07_2017,8,SD,3,,Scarus frenatus,30,1,IP,17:33,9.1,1,
10_07_2017,8,SD,3,,Scarus rubroviolaceus,32,1,IP,17:33,9.1,1,
10_07_2017,8,SD,3,,Scarus ghobban,28,1,IP,17:33,9.1,1,
10_07_2017,8,SD,3,,Acanthurus nigricauda,21,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Ctenochaetus flavicauda,11,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Ctenochaetus marginatus,21,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Ctenochaetus marginatus,23,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Ctenochaetus marginatus,13,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Ctenochaetus marginatus,7,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Ctenochaetus marginatus,15,2,,17:33,9.1,1,
10_07_2017,8,SD,3,,Ctenochaetus marginatus,15,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Ctenochaetus marginatus,12,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Ctenochaetus marginatus,6,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Balistapus undulatus,5,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Melichthys vidua,20,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Parupeneus insularis,22,1,,17:33,9.1,1,
10_07_2017,8,SD,3,,Parupeneus insularis,21,2,,17:33,9.1,1,
10_07_2017,8,SD,3,,Parupeneus multifasciatus,20,2,,17:33,9.1,1,
10_07_2017,8,SD,3,,Canthigaster solandri,7,1,,17:33,9.1,1,
11_07_2017,8,SD,1,,Cephalopholis urodeta,13,2,,10:46,8.5,1,
11_07_2017,8,SD,1,,Cephalopholis urodeta,16,2,,10:46,8.5,1,
11_07_2017,8,SD,1,,Cephalopholis urodeta,14,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Cephalopholis urodeta,11,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Pseudanthias olivaceus,6,50,,10:46,8.5,1,
11_07_2017,8,SD,1,,Coris aygula,35,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Cirripectes variolosus,6,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Cirripectes variolosus,7,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Cirripectes variolosus,4,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Scarus frenatus,5,1,juv,10:46,8.5,1,
11_07_2017,8,SD,1,,Scarus frenatus,7,1,juv,10:46,8.5,1,
11_07_2017,8,SD,1,,Scarus frenatus,6,1,juv,10:46,8.5,1,
11_07_2017,8,SD,1,,Hemigymnus fasciatus,2,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Centropyge flavissima,5,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Centropyge flavissima,4,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Centropyge flavissima,6,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Chaetodon ornatissimus,16,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Chromis acares,3,5,,10:46,8.5,1,
11_07_2017,8,SD,1,,Chromis margaritifer,4,57,,10:46,8.5,1,
11_07_2017,8,SD,1,,Chromis margaritifer,2,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Chromis margaritifer,5,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Chromis vanderbilti,3,36,,10:46,8.5,1,
11_07_2017,8,SD,1,,Plectroglyphidodon dickii,5,5,,10:46,8.5,1,
11_07_2017,8,SD,1,,Pomacentrus coelestis,3,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Stegastes aureus,8,5,,10:46,8.5,1,
11_07_2017,8,SD,1,,Stegastes aureus,7,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Coris centralis,8,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Coris centralis,5,3,,10:46,8.5,1,
11_07_2017,8,SD,1,,Coris centralis,3,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Coris gaimard,20,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Gomphosus varius,4,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Halichoeres hortulanus,12,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Halichoeres ornatissimus,6,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Macropharyngodon meleagris,5,6,,10:46,8.5,1,
11_07_2017,8,SD,1,,Macropharyngodon meleagris,4,2,,10:46,8.5,1,
11_07_2017,8,SD,1,,Pseudocheilinus hexataenia,4,2,,10:46,8.5,1,
11_07_2017,8,SD,1,,Pseudocheilinus hexataenia,5,2,,10:46,8.5,1,
11_07_2017,8,SD,1,,Pseudocheilinus hexataenia,3,2,,10:46,8.5,1,
11_07_2017,8,SD,1,,Pseudocheilinus octotaenia,9,2,,10:46,8.5,1,
11_07_2017,8,SD,1,,Stethojulis bandanensis,6,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Stethojulis bandanensis,7,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Thalassoma amblycephalum,3,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Thalassoma quinquevittatum,8,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Thalassoma quinquevittatum,14,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Thalassoma quinquevittatum,9,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Thalassoma quinquevittatum,7,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Calotomus carolinus,10,1,juv,10:46,8.5,1,
11_07_2017,8,SD,1,,Chlorurus sordidus,20,1,IP,10:46,8.5,1,
11_07_2017,8,SD,1,,Scarus oviceps,21,1,TP,10:46,8.5,1,
11_07_2017,8,SD,1,,Scarus oviceps,23,1,TP,10:46,8.5,1,
11_07_2017,8,SD,1,,Acanthurus nigricans,20,3,,10:46,8.5,1,
11_07_2017,8,SD,1,,Acanthurus nigricans,15,2,,10:46,8.5,1,
11_07_2017,8,SD,1,,Acanthurus nigricans,10,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Acanthurus nigricans,12,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Acanthurus nigricans,13,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Ctenochaetus cyanocheilus,6,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Ctenochaetus marginatus,21,2,,10:46,8.5,1,
11_07_2017,8,SD,1,,Ctenochaetus marginatus,22,3,,10:46,8.5,1,
11_07_2017,8,SD,1,,Ctenochaetus marginatus,12,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Ctenochaetus marginatus,10,2,,10:46,8.5,1,
11_07_2017,8,SD,1,,Ctenochaetus marginatus,15,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Ctenochaetus marginatus,19,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Ctenochaetus marginatus,16,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Balistapus undulatus,7,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Balistapus undulatus,11,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Balistapus undulatus,10,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Sufflamen bursa,18,1,,10:46,8.5,1,
11_07_2017,8,SD,1,,Parupeneus insularis,22,1,,10:46,8.5,1,
11_07_2017,8,SD,2,,Cephalopholis urodeta,12,2,,11:07,8,1,
11_07_2017,8,SD,2,,Cephalopholis urodeta,14,1,,11:07,8,1,
11_07_2017,8,SD,2,,Cephalopholis urodeta,17,1,,11:07,8,1,
11_07_2017,8,SD,2,,Cephalopholis urodeta,10,1,,11:07,8,1,
11_07_2017,8,SD,2,,Pseudanthias dispar,5,67,,11:07,8,1,
11_07_2017,8,SD,2,,Pseudanthias dispar,10,7,,11:07,8,1,
11_07_2017,8,SD,2,,Pseudanthias olivaceus,5,15,,11:07,8,1,
11_07_2017,8,SD,2,,Cirripectes variolosus,6,1,,11:07,8,1,
11_07_2017,8,SD,2,,Centropyge loricula,4,1,,11:07,8,1,
11_07_2017,8,SD,2,,Centropyge flavissima,5,3,,11:07,8,1,
11_07_2017,8,SD,2,,Centropyge flavissima,4,2,,11:07,8,1,
11_07_2017,8,SD,2,,Centropyge flavissima,7,2,,11:07,8,1,
11_07_2017,8,SD,2,,Chromis margaritifer,4,51,,11:07,8,1,
11_07_2017,8,SD,2,,Chromis margaritifer,2,5,,11:07,8,1,
11_07_2017,8,SD,2,,Chromis vanderbilti,3,115,,11:07,8,1,
11_07_2017,8,SD,2,,Plectroglyphidodon dickii,4,1,,11:07,8,1,
11_07_2017,8,SD,2,,Plectroglyphidodon dickii,5,1,,11:07,8,1,
11_07_2017,8,SD,2,,Stegastes fasciolatus,9,2,,11:07,8,1,
11_07_2017,8,SD,2,,Stegastes fasciolatus,7,2,,11:07,8,1,
11_07_2017,8,SD,2,,Stegastes fasciolatus,8,3,,11:07,8,1,
11_07_2017,8,SD,2,,Halichoeres ornatissimus,5,1,,11:07,8,1,
11_07_2017,8,SD,2,,Halichoeres ornatissimus,8,1,,11:07,8,1,
11_07_2017,8,SD,2,,Labroides dimidiatus,8,1,,11:07,8,1,
11_07_2017,8,SD,2,,Labroides rubrolabiatus,6,1,,11:07,8,1,
11_07_2017,8,SD,2,,Macropharyngodon meleagris,4,3,,11:07,8,1,
11_07_2017,8,SD,2,,Macropharyngodon meleagris,7,2,,11:07,8,1,
11_07_2017,8,SD,2,,Macropharyngodon meleagris,8,1,,11:07,8,1,
11_07_2017,8,SD,2,,Macropharyngodon meleagris,2,1,,11:07,8,1,
11_07_2017,8,SD,2,,Oxycheilinus unifasciatus,24,1,,11:07,8,1,
11_07_2017,8,SD,2,,Pseudocheilinus hexataenia,5,1,,11:07,8,1,
11_07_2017,8,SD,2,,Pseudocheilinus hexataenia,4,1,,11:07,8,1,
11_07_2017,8,SD,2,,Pseudocheilinus octotaenia,7,1,,11:07,8,1,
11_07_2017,8,SD,2,,Pseudocheilinus octotaenia,8,2,,11:07,8,1,
11_07_2017,8,SD,2,,Pseudocheilinus octotaenia,9,2,,11:07,8,1,
11_07_2017,8,SD,2,,Stethojulis bandanensis,4,1,,11:07,8,1,
11_07_2017,8,SD,2,,Stethojulis bandanensis,8,1,,11:07,8,1,
11_07_2017,8,SD,2,,Thalassoma amblycephalum,2,2,,11:07,8,1,
11_07_2017,8,SD,2,,Thalassoma quinquevittatum,10,1,,11:07,8,1,
11_07_2017,8,SD,2,,Thalassoma quinquevittatum,7,1,,11:07,8,1,
11_07_2017,8,SD,2,,Thalassoma quinquevittatum,12,1,,11:07,8,1,
11_07_2017,8,SD,2,,Calotomus carolinus,26,1,TP,11:07,8,1,
11_07_2017,8,SD,2,,Calotomus carolinus,11,1,juv,11:07,8,1,
11_07_2017,8,SD,2,,Chlorurus sordidus,8,1,juv,11:07,8,1,
11_07_2017,8,SD,2,,Chlorurus sordidus,7,1,juv,11:07,8,1,
11_07_2017,8,SD,2,,Chlorurus sordidus,6,1,juv,11:07,8,1,
11_07_2017,8,SD,2,,Acanthurus nigricans,17,1,,11:07,8,1,
11_07_2017,8,SD,2,,Acanthurus nigricans,12,1,,11:07,8,1,
11_07_2017,8,SD,2,,Acanthurus nigricans,10,1,,11:07,8,1,
11_07_2017,8,SD,2,,Acanthurus nigricauda,25,2,,11:07,8,1,
11_07_2017,8,SD,2,,Ctenochaetus cyanocheilus,10,1,,11:07,8,1,
11_07_2017,8,SD,2,,Ctenochaetus cyanocheilus,12,1,,11:07,8,1,
11_07_2017,8,SD,2,,Ctenochaetus cyanocheilus,15,1,,11:07,8,1,
11_07_2017,8,SD,2,,Ctenochaetus flavicauda,12,1,,11:07,8,1,
11_07_2017,8,SD,2,,Ctenochaetus marginatus,22,1,,11:07,8,1,
11_07_2017,8,SD,2,,Ctenochaetus marginatus,24,2,,11:07,8,1,
11_07_2017,8,SD,2,,Ctenochaetus marginatus,20,1,,11:07,8,1,
11_07_2017,8,SD,2,,Balistapus undulatus,15,1,,11:07,8,1,
11_07_2017,8,SD,2,,Parupeneus insularis,10,2,,11:07,8,1,
11_07_2017,8,SD,2,,Parupeneus insularis,14,1,,11:07,8,1,
11_07_2017,8,SD,2,,Canthigaster solandri,7,2,,11:07,8,1,
11_07_2017,8,SD,3,,Sargocentron caudimaculatum,15,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Anampses twistii,5,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Pseudanthias olivaceus,7,6,,11:28,8.5,1,
11_07_2017,8,SD,3,,Paracirrhites arcatus,7,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Heniochus acuminatus,22,2,,11:28,8.5,1,
11_07_2017,8,SD,3,,Lutjanus fulvus,27,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Monotaxis grandoculis,26,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Cirripectes variolosus,8,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Cirripectes variolosus,6,4,,11:28,8.5,1,
11_07_2017,8,SD,3,,Cirripectes variolosus,7,2,,11:28,8.5,1,
11_07_2017,8,SD,3,,Cirripectes variolosus,9,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Centropyge loricula,5,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Centropyge flavissima,6,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Chaetodon vagabundus,10,3,,11:28,8.5,1,
11_07_2017,8,SD,3,,Chaetodon vagabundus,12,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Chromis margaritifer,3,49,,11:28,8.5,1,
11_07_2017,8,SD,3,,Chromis vanderbilti,3,100,,11:28,8.5,1,
11_07_2017,8,SD,3,,Chromis vanderbilti,2,19,,11:28,8.5,1,
11_07_2017,8,SD,3,,Chromis vanderbilti,5,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Plectroglyphidodon johnstonianus,4,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Stegastes aureus,9,3,,11:28,8.5,1,
11_07_2017,8,SD,3,,Stegastes aureus,7,3,,11:28,8.5,1,
11_07_2017,8,SD,3,,Stegastes aureus,8,2,,11:28,8.5,1,
11_07_2017,8,SD,3,,Stegastes aureus,10,3,,11:28,8.5,1,
11_07_2017,8,SD,3,,Gomphosus varius,5,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Gomphosus varius,12,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Halichoeres hortulanus,22,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Halichoeres ornatissimus,5,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Halichoeres ornatissimus,6,2,,11:28,8.5,1,
11_07_2017,8,SD,3,,Halichoeres ornatissimus,7,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Labroides dimidiatus,9,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Labroides dimidiatus,7,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Labroides rubrolabiatus,6,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Labroides rubrolabiatus,7,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Macropharyngodon meleagris,5,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Macropharyngodon meleagris,7,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Macropharyngodon meleagris,3,3,,11:28,8.5,1,
11_07_2017,8,SD,3,,Macropharyngodon meleagris,12,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Pseudocheilinus hexataenia,6,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Pseudocheilinus hexataenia,3,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Pseudocheilinus hexataenia,4,2,,11:28,8.5,1,
11_07_2017,8,SD,3,,Pseudocheilinus octotaenia,10,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Pseudocheilinus octotaenia,9,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Pseudocheilinus octotaenia,6,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Pseudocheilinus octotaenia,8,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Thalassoma quinquevittatum,7,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Thalassoma quinquevittatum,11,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Thalassoma quinquevittatum,6,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Thalassoma quinquevittatum,8,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Calotomus carolinus,25,1,TP,11:28,8.5,1,
11_07_2017,8,SD,3,,Scarus frenatus,33,1,TP,11:28,8.5,1,
11_07_2017,8,SD,3,,Scarus oviceps,16,1,IP,11:28,8.5,1,
11_07_2017,8,SD,3,,Acanthurus nigricans,18,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Acanthurus nigricans,13,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Acanthurus nigricauda,22,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Acanthurus nigricauda,26,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Ctenochaetus marginatus,20,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Ctenochaetus marginatus,22,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Ctenochaetus marginatus,12,3,,11:28,8.5,1,
11_07_2017,8,SD,3,,Ctenochaetus marginatus,13,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Ctenochaetus marginatus,10,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Balistapus undulatus,9,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Melichthys vidua,16,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Sufflamen bursa,11,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Parupeneus insularis,25,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Parupeneus insularis,22,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Parupeneus insularis,20,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Parupeneus insularis,14,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Parupeneus insularis,12,3,,11:28,8.5,1,
11_07_2017,8,SD,3,,Parupeneus multifasciatus,20,1,,11:28,8.5,1,
11_07_2017,8,SD,3,,Canthigaster solandri,6,1,,11:28,8.5,1,
11_07_2017,35,SD,1,,Cephalopholis argus,23,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Cephalopholis urodeta,10,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Cephalopholis urodeta,18,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Variola louti,28,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Pseudanthias bartlettorum,6,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Pseudanthias dispar,7,58,,13:37,8.3,2,
11_07_2017,35,SD,1,,Pseudanthias olivaceus,6,210,,13:37,8.3,2,
11_07_2017,35,SD,1,,Paracirrhites hemistictus,23,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Lutjanus bohar,25,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Plagiotremus tapeinosoma,6,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Cirripectes variolosus,6,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Centropyge flavissima,4,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Centropyge flavissima,6,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Centropyge flavissima,7,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Chromis margaritifer,2,12,,13:37,8.3,2,
11_07_2017,35,SD,1,,Chromis margaritifer,4,11,,13:37,8.3,2,
11_07_2017,35,SD,1,,Chromis vanderbilti,3,65,,13:37,8.3,2,
11_07_2017,35,SD,1,,Plectroglyphidodon dickii,4,2,,13:37,8.3,2,
11_07_2017,35,SD,1,,Plectroglyphidodon dickii,5,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Plectroglyphidodon johnstonianus,5,2,,13:37,8.3,2,
11_07_2017,35,SD,1,,Plectroglyphidodon johnstonianus,2,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Stegastes fasciolatus,8,2,,13:37,8.3,2,
11_07_2017,35,SD,1,,Stegastes fasciolatus,10,4,,13:37,8.3,2,
11_07_2017,35,SD,1,,Stegastes fasciolatus,6,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Stegastes fasciolatus,7,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Stegastes fasciolatus,5,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Stegastes fasciolatus,11,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Cheilinus trilobatus,24,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Halichoeres ornatissimus,6,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Halichoeres ornatissimus,7,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Halichoeres ornatissimus,8,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Hemigymnus fasciatus,22,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Labroides dimidiatus,10,1,,13:37,8.3,2,
11_07_2017,35,SD,1,,Labroides dimidiatus,3,1,,13:37,8.3,2,
